id,"iso3","name","continent",centroid_lat,centroid_lon
158,"NCL","New Caledonia","OC",-21.5,165.5
159,"NZL","New Zealand","OC",-41,174
160,"NIC","Nicaragua","NA",13,-85
161,"NER","Niger","AF",16.5,9.2
162,"NGA","Nigeria","AF",10,8
163,"NIU","Niue","OC",-19.0333,-169.86667
164,"NFK","Norfolk Island","OC",-29.0333,167.95
165,"MNP","Northern Mariana Islands","OC",15.2,145.75
166,"NOR","Norway","EU",62,10
167,"PSE","Occupied Palestinian Territory","AS",32,35.25
168,"OMN","Oman","AS",21,57
169,"PAK","Pakistan","AS",30,70
170,"PLW","Palau","OC",7.5,134.5
171,"PAN","Panama","NA",9,-80
172,"PNG","Papua New Guinea","OC",-6,144.6
173,"PRY","Paraguay","SA",-23,-58
174,"PER","Peru","SA",-10,-76
175,"PHL","Philippines","AS",13,122
176,"PCN","Pitcairn Islands","OC",-25.0667,-130.1
177,"POL","Poland","EU",52,20
178,"PRT","Portugal","EU",39.5,-8
179,"PRI","Puerto Rico","NA",18.25,-66.5
180,"QAT","Qatar","AS",25.5,51.25
181,"REU","Réunion","AF",-21.1,55.6
182,"ROU","Romania","EU",46,25
183,"RUS","Russian Federation","EU",60,100
184,"RWA","Rwanda","AF",-2,30
185,"BLM","Saint Barthélemy","NA",17.9,-62.83333
186,"SHN","Saint Helena, Ascension and Tristan da Cunha","AF",-15.95,-5.7
187,"KNA","Saint Kitts and Nevis","NA",17.3333,-62.75
188,"LCA","Saint Lucia","NA",13.8833,-60.96667
189,"MAF","Saint Martin","NA",18.0753,-63.06
190,"SPM","Saint Pierre and Miquelon","NA",46.8333,-56.33333
191,"VCT","Saint Vincent and The Grenadines","NA",13.25,-61.2
192,"WSM","Samoa","OC",-13.5833,-172.33333
193,"SMR","San Marino","EU",43.9333,12.41667
194,"STP","Sao Tome and Principe","AF",1,7
195,"SAU","Saudi Arabia","AS",25,45
196,"SEN","Senegal","AF",14,-14
197,"SRB","Serbia","EU",44,21
198,"SYC","Seychelles","AF",-4.58333,55.66667
199,"SLE","Sierra Leone","AF",8.5,-11.5
200,"SGP","Singapore","AS",1.36667,103.8
201,"SXM","Sint Maarten","NA",18.0417,-63.06667
202,"SVK","Slovakia","EU",48.6667,19.5
203,"SVN","Slovenia","EU",46.1167,14.81667
204,"SLB","Solomon Islands","OC",-8,159
205,"SOM","Somalia","AF",10,49
206,"ZAF","South Africa","AF",-29,24
207,"SGS","South Georgia and the South Sandwich Islands","AN",-54.5,-37
208,"SSD","South Sudan","AF",8,30
209,"ESP","Spain","EU",40,-4
210,"LKA","Sri Lanka","AS",7,81
211,"SDN","Sudan","AF",15,30
212,"SUR","Suriname","SA",4,-56
213,"SJM","Svalbard and Jan Mayen Islands","EU",78,20
214,"SWZ","Swaziland","AF",-26.5,31.5
215,"SWE","Sweden","EU",62,15
216,"CHE","Switzerland","EU",47,8
217,"SYR","Syrian Arab Republic","AS",35,38
218,"TWN","Taiwan","AS",23.5,121
219,"TJK","Tajikistan","AS",39,71
220,"TZA","United Republic of Tanzania","AF",-6,35
221,"THA","Thailand","AS",15,100
222,"TLS","Timor-Leste","AS",-8.83333,125.91667
223,"TGO","Togo","AF",8,1.16667
224,"TKL","Tokelau","OC",-9,-172
225,"TON","Tonga","OC",-20,-175
226,"TTO","Trinidad and Tobago","NA",11,-61
227,"TUN","Tunisia","AF",34,9
228,"TUR","Turkey","AS",39,35
229,"TKM","Turkmenistan","AS",40,60
230,"TCA","Turks and Caicos Islands","NA",21.75,-71.58333
231,"TUV","Tuvalu","OC",-8,178
232,"UGA","Uganda","AF",1,32
233,"UKR","Ukraine","EU",49,32
234,"ARE","United Arab Emirates","AS",24,54
235,"GBR","U.K. of Great Britain and Northern Ireland","EU",54,-2
236,"USA","United States of America","NA",40,-96
237,"UMI","United States Minor Outlying Islands","OC",16.75,-169.51667
238,"URY","Uruguay","SA",-33,-56
239,"UZB","Uzbekistan","AS",41,64
240,"VUT","Vanuatu","OC",-16,167
241,"VEN","Venezuela","SA",8,-66
242,"VNM","Viet Nam","AS",16.1667,107.83333
243,"VGB","British Virgin Islands","NA",18.5,-64.5
244,"VIR","United States Virgin Islands","NA",18.3333,-64.83333
245,"WLF","Wallis and Futuna","OC",-13.3,-176.2
246,"ESH","Western Sahara","AF",24.5,-13
247,"YEM","Yemen","AS",15,48
248,"ZMB","Zambia","AF",-15,30
249,"ZWE","Zimbabwe","AF",-20,30
250,"XXX","Unknown","XX",0,0
